"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 16 17:42:49 GMT 2023","Tue May 16 17:42:52 GMT 2023","2320","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceCannotBeZero","testPriceCannotBeZero","Test that price input on filter modal can not be zero"
"passed","Tue May 16 17:42:57 GMT 2023","Tue May 16 17:43:02 GMT 2023","4397","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectAllAmenities","testSelectAllAmenities","Test that all Amenities can be selected"
"passed","Tue May 16 17:42:41 GMT 2023","Tue May 16 17:42:49 GMT 2023","7347","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testClearAll","testClearAll","Test Clear All resets all applied filters"
"passed","Tue May 16 17:43:07 GMT 2023","Tue May 16 17:43:10 GMT 2023","2456","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectingMinNumberForRoomsAndBeds","testSelectingMinNumberForRoomsAndBeds","Test that the min allowed numbers for Rooms and Beds input is 0 and decrease button is disabled after"
"passed","Tue May 16 17:42:29 GMT 2023","Tue May 16 17:42:41 GMT 2023","11958","Tests","Testcases","com.example.tests.AllListingsTest","com.example.tests.AllListingsTest","testTotalLoadedListEqualAllButton","testTotalLoadedListEqualAllButton","This test to verify that the listing loaded is the same as on the All Button"
"passed","Tue May 16 17:42:52 GMT 2023","Tue May 16 17:42:54 GMT 2023","1841","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceDisabled","testPriceDisabled","Test that price input on filter modal is disabled if check in and out is not provided"
"passed","Tue May 16 17:43:03 GMT 2023","Tue May 16 17:43:07 GMT 2023","4299","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectingMaxNumberForRoomsAndBeds","testSelectingMaxNumberForRoomsAndBeds","Test that the max allowed numbers for Rooms and Beds input is 10 and increase button is disabled after"
"passed","Tue May 16 17:42:55 GMT 2023","Tue May 16 17:42:57 GMT 2023","2342","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceEnabledWhenDatesAreProvided","testPriceEnabledWhenDatesAreProvided","Test that price input on filter modal is enabled if date is provided"
