"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 16 17:41:33 GMT 2023","Tue May 16 17:41:42 GMT 2023","8880","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testClearAll","testClearAll","Test Clear All resets all applied filters"
"passed","Tue May 16 17:41:59 GMT 2023","Tue May 16 17:42:04 GMT 2023","5073","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectingMaxNumberForRoomsAndBeds","testSelectingMaxNumberForRoomsAndBeds","Test that the max allowed numbers for Rooms and Beds input is 10 and increase button is disabled after"
"passed","Tue May 16 17:41:53 GMT 2023","Tue May 16 17:41:58 GMT 2023","4887","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectAllAmenities","testSelectAllAmenities","Test that all Amenities can be selected"
"passed","Tue May 16 17:41:20 GMT 2023","Tue May 16 17:41:32 GMT 2023","12036","Tests","Testcases","com.example.tests.AllListingsTest","com.example.tests.AllListingsTest","testTotalLoadedListEqualAllButton","testTotalLoadedListEqualAllButton","This test to verify that the listing loaded is the same as on the All Button"
"passed","Tue May 16 17:41:47 GMT 2023","Tue May 16 17:41:49 GMT 2023","2000","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceDisabled","testPriceDisabled","Test that price input on filter modal is disabled if check in and out is not provided"
"passed","Tue May 16 17:41:43 GMT 2023","Tue May 16 17:41:46 GMT 2023","2965","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceCannotBeZero","testPriceCannotBeZero","Test that price input on filter modal can not be zero"
"passed","Tue May 16 17:41:50 GMT 2023","Tue May 16 17:41:53 GMT 2023","2897","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testPriceEnabledWhenDatesAreProvided","testPriceEnabledWhenDatesAreProvided","Test that price input on filter modal is enabled if date is provided"
"passed","Tue May 16 17:42:05 GMT 2023","Tue May 16 17:42:08 GMT 2023","3398","Tests","Testcases","com.example.tests.FiltersFormTest","com.example.tests.FiltersFormTest","testSelectingMinNumberForRoomsAndBeds","testSelectingMinNumberForRoomsAndBeds","Test that the min allowed numbers for Rooms and Beds input is 0 and decrease button is disabled after"
